adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tmdb_keywords,production_countries,year,month,day,decade,LLM_Raw_Response,Fear_Category
False,/1GOVA5cnqQTFJNAXb193ay3RKJ8.jpg,"[27, 53]",987414,ar,أنا الماضي,"A man enters prison because of his brother-in-law and his mistress. After leaving prison, he searches for them to find them dead in a car accident. He marries their daughter to take revenge on her with the help of his sister. When she gives birth, he tries to stop his sister. He eventually kills his sister after accidentally hitting her.",1.655,https://image.tmdb.org/t/p/original/kzuoDqooKv8CGHEnxZYBLvD4jnr.jpg,1950-01-22,I Am the Past,False,0.0,0,,Egypt,1950,1,22,1950,"Based on the title, overview, and keywords, I would classify ""I Am the Past"" under **Grief & Familial Trauma**.

The film appears to be a tale of revenge and tragedy, driven by the protagonist's desire to punish those who wronged him. The story revolves around his relationships with his brother-in-law, mistress, and their daughter, which are all connected to his past. The themes of loss, inheritance, and haunted domestic bonds are present throughout the narrative.

The horror elements seem to stem from the protagonist's grief and trauma, as well as the consequences of his actions. His sister's death is a direct result of his attempts to take revenge, highlighting the devastating impact of his choices on those around him.

While there may be moments of violence or tension, the primary fear at the core of this film appears to be the destructive power of grief and the cyclical nature of trauma within families.",Grief & Familial Trauma
False,/ktprSXwrR4j8gzA0WFg1I4UOvAc.jpg,"[18, 53, 9648, 27]",883977,en,The Rockingham Tea Set,"To keep her former fiancé from leaving her, a neurotic young woman (Louise Allbritton) fakes a riding accident, and feigns paralysis of her lower body. When her graceful nurse (Grace Kelly) discovers her treachery, she resorts to a final and desperate act of revenge.",1.7485,https://image.tmdb.org/t/p/original/xh5aTalVTmqRrS22xj3VjjJbIqr.jpg,1950-01-23,The Rockingham Tea Set,False,10.0,1,"nurse, supernatural, ghost",,1950,1,23,1950,"Based on the title, overview, and keywords, I would classify ""The Rockingham Tea Set"" under **Possession & Loss of Agency**.

The film's premise revolves around Louise Allbritton's character faking a riding accident to keep her former fiancé from leaving her. However, when her nurse (played by Grace Kelly) discovers her treachery, the protagonist resorts to a desperate act of revenge, suggesting that she may have lost control or agency over her own actions.

The supernatural and ghostly elements also point towards Possession & Loss of Agency, as they imply some kind of external force or entity influencing the character's behavior.",Possession & Loss of Agency
False,,"[27, 9648, 53]",952277,bn,কঙ্কাল,"Kankal is a social horror drama which shows how a spirit can fulfil its desire with its intense power. The story begins with Abhay being killed by a skeleton and police come for the inspection. Dr. Sanyal takes us back to the story where Tarala got married to Rattan, a rich man. But Tarala's sister-in-law's brother, Abhay was in love with Tarala whom Tarala didn't like for his bad attitude and lower education. So to take the revenge, Abhay married Rattan's sister. By moulding Rattan, Abhay took all his wealth and tried to rape Tarala. Though Rattan came to save her, he was being driven out by Abhay. In this situation Tarala passes away unknowingly and Abhay tried to hide her dead body by throwing it in the river. Rattan unable to find his wife became mad and roamed around in search for her.",0.0387,https://image.tmdb.org/t/p/original/m7FeMaP0rLCL8v2mJxLBBmRLmTr.jpg,1950-04-14,Kankal,False,0.0,0,,India,1950,4,14,1950,"Based on the title, overview, and keywords, I would classify Kankal under **Grief & Familial Trauma**.

The movie appears to be a social horror drama that explores themes of family, love, revenge, and tragedy. The story revolves around Tarala's death and the subsequent events that unfold as a result of Abhay's actions. The film seems to focus on the emotional toll of loss and the devastating consequences of Abhay's betrayal.

The fear at the core of Kankal appears to be rooted in grief, family trauma, and the haunting legacy of past events. The movie's exploration of these themes suggests that it is more concerned with the psychological and emotional impact of tragedy than with external threats or supernatural forces.

Therefore, I believe that **Grief & Familial Trauma** is the primary fear category that best represents the horror at the heart of Kankal.",Grief & Familial Trauma
False,/uFeiHidNHBxEguDTVkwWT1j9YMz.jpg,[27],140680,en,The Fall of the House of Usher,"A traveler arrives at the Usher mansion to visit his old friend, Roderick Usher. Upon arriving, however, he discovers that Roderick and his sister, Madeline, have been afflicted with a mysterious malady: Roderick's senses have become painfully acute, while Madeline has become nearly catatonic. That evening, Roderick tells his guest of an old Usher family curse: any time there has been more than one Usher child, all of the siblings have gone insane and died horrible deaths. As the days wear on, the effects of the curse reach their terrifying climax.",1.1791,https://image.tmdb.org/t/p/original/gMCsfgQU37XbPiC14OoLvFigcp4.jpg,1950-06-01,The Fall of the House of Usher,False,5.1,13,"curse, gothic horror, old dark house, sibling, premature burial, poe",United Kingdom,1950,6,1,1950,"Based on the title, overview, and keywords, I would classify ""The Fall of the House of Usher"" under **Grief & Familial Trauma**.

The film's central fear is rooted in the cursed legacy of the Usher family, which is passed down through generations. The curse is triggered by the presence of multiple siblings, leading to a descent into madness and death. This theme of inherited trauma and family legacy is characteristic of the Grief & Familial Trauma category.

While there are elements of supernatural horror and eerie atmosphere, the primary fear driving the story is the weight of the Usher family's dark past and the devastating consequences that follow when this curse is triggered.",Grief & Familial Trauma
False,/zi9Z0zFjc4A7K7OxqHiGpRrjnad.jpg,[27],1174494,cn,鬼屋,"Mr. Wong and his students take shelter in a house during a storm, where the caretaker, Uncle Fook, tells a ghost story. Long ago, cousins Bai Yunfeng and Bai Deqing rescued a singer, Qin Chuxiang. Both loved her, but Chuxiang only loved Yunfeng. Deqing, jealous, convinced Yunfeng’s father, Bai Yinzong, to break up the couple by arranging Yunfeng’s marriage to a cousin. However, Chuxiang was pregnant, so the Emperor agreed to their marriage. On the wedding day, Chuxiang’s mother revealed that she and Yunfeng were siblings. Deqing then bribed locals to accuse them of incest, and they were nearly drowned. Mr. Wong’s group realizes Yunfeng and Chuxiang survived and had pretended to be ghosts for years. Yinzong exposes Deqing’s plot, and Yunfeng and Chuxiang finally marry.",0.126,https://image.tmdb.org/t/p/original/1IFCOhbBWctqUAe6qIIzOvMqZbb.jpg,1950-07-06,The Haunted House,False,0.0,0,,Hong Kong,1950,7,6,1950,"Based on the title, overview, and keywords, I would classify ""The Haunted House"" under **Grief & Familial Trauma**.

The primary fear at the core of this film appears to be the consequences of family secrets, betrayal, and the blurring of moral boundaries. The story revolves around the tragic events that unfolded due to unrequited love, jealousy, and deception within a family. The horror stems from the emotional trauma and guilt that Yunfeng and Chuxiang experienced as a result of their circumstances.

The film's focus on the consequences of family secrets, the blurring of moral boundaries, and the emotional trauma experienced by the characters suggests that **Grief & Familial Trauma** is the primary fear category that best represents the horror at the heart of this movie.",Grief & Familial Trauma
False,,[27],318623,tl,Kamay ni Satanas,"Kamay ni Satanas tells of Ka Berto, an aged “albularyo” or folk healer, who has a great love for Senyang, a young pretty lass, the daughter of his good friend. Fearing that he has no chance at all, he sells his right hand to the devil in exchange for youth, good looks, and wealth.",1.0394,,1950-11-12,Kamay ni Satanas,False,0.0,0,"based on comic, severed hand, faustian pact",Philippines,1950,11,12,1950,"Based on the title, overview, and keywords, I would classify ""Kamay ni Satanas"" under **Transgression & Moral Punishment**.

The movie's premise revolves around Ka Berto's Faustian bargain with the devil to gain youth, good looks, and wealth in exchange for his right hand. This transaction is a clear transgression of moral boundaries, and the consequences that follow are likely to be a form of moral punishment or retribution.

The horror elements in this film will likely stem from Ka Berto's inner corruption and the supernatural repercussions of his deal with the devil, rather than an external invasion, possession, or systemic control. The severed hand also adds a layer of body horror, but it is ultimately a consequence of Ka Berto's transgression rather than the primary source of fear.

Overall, the themes of moral transgression, guilt, and supernatural retribution align with the **Transgression & Moral Punishment** category.",Transgression & Moral Punishment
False,,"[10770, 27, 878]",1266976,en,The Strange Case of Dr. Jekyll and Mr. Hyde,"Television adaptation of the novel by R.L. Stevenson about the upright Dr Jekyll whose experiments lead him to discover a way to separate out good and evil in a man, and lead to him becoming the persona of the immoral Mr Hyde when taking the substance. However, he finds that the splitting begins to occur of its own accord and he loses control over it.",0.8743,https://image.tmdb.org/t/p/original/qSp0MtJPxed7pxZO4gMarwDvyfg.jpg,1950-11-14,The Strange Case of Dr. Jekyll and Mr. Hyde,False,0.0,0,,,1950,11,14,1950,"Based on the title, overview, and keywords, I would classify ""The Strange Case of Dr. Jekyll and Mr. Hyde"" under **Possession & Loss of Agency**.

The fear at the core of this film is the loss of control over one's own mind and body, as Dr. Jekyll's experiments lead to a split personality that he cannot fully control. The transformation into Mr. Hyde represents a possession-like state where Dr. Jekyll's good nature is gradually consumed by his darker alter ego.

This fear category fits best because it highlights the theme of losing agency over one's own actions and thoughts, which is a primary concern in this adaptation of Stevenson's classic novel.",Possession & Loss of Agency
False,,"[35, 27]",480745,en,Spooky Wooky,"Leon manages to get a new house in the country cheap, and the whole family finds out that a mysterious death occurred in it. No one but Leon wants to live there, and so, a wacky plan is conceived to make Leon change his mind about moving.",1.3921,https://image.tmdb.org/t/p/original/pqusu4VqYYp2NVVpLbC7RZfVYGp.jpg,1950-12-01,Spooky Wooky,False,0.0,0,,United States of America,1950,12,1,1950,"Based on the title ""Spooky Wooky"" and the overview, I would classify this movie under **Invasion & Paranoia** (Category 1).

The fear of being replaced or observed by a hidden presence is present in the story, as the family discovers that a mysterious death occurred in their new house. The fact that no one but Leon wants to live there suggests that something uncanny and potentially malevolent is lurking, which drives the wacky plan to make Leon change his mind about moving.

The keywords are not provided, but based on the title and overview, I believe this fear category best represents the primary fear at the core of the film.",Invasion & Paranoia
False,,"[35, 27]",791329,en,Tomb Itmay Concern,"An archaeologist and his assistant discover two female mummies in an Egyptian tomb with a warning in hieroglyphics not to wet them with the water in an urn. When they do, one mummy gets up to hi-jinks, while the other, Princess Itmay, does a burlesque dance.",0.4166,https://image.tmdb.org/t/p/original/cY2ieFYuaP33WHux7A2f9UIcXrm.jpg,1950-12-31,Tomb Itmay Concern,False,2.667,3,"mummy, burlesque, burlesque dancer, egyptian tomb, short film",United States of America,1950,12,31,1950,"What a delightfully campy and irreverent title!

Based on the overview and keywords, I would classify ""Tomb Itmay Concern"" under **Captivity & Voyeuristic Sadism**. The film's premise, which involves an archaeologist and his assistant discovering mummies in an Egyptian tomb and subsequently unleashing chaos through their actions, suggests a tone of playful mischief and exploitation.

The fact that one mummy gets up to ""hi-jinks"" while the other performs a burlesque dance implies a sense of captivity and control, with the protagonists serving as unwitting observers or participants in this spectacle. The overall atmosphere seems to be more about reveling in the absurdity and campiness of the situation rather than exploring deeper themes or terrors.

So, if I had to choose one fear category that best represents the primary fear at the core of ""Tomb Itmay Concern"", it would be **Captivity & Voyeuristic Sadism**.",Captivity & Voyeuristic Sadism
False,,"[27, 10402]",415584,es,El Sombrerón,A priest tells the story of a man who arrived late one night to confess his sins related to a tragic love triangle. Inspired by the Guatemalan folkloric legend of El Sombrerón.,0.1187,https://image.tmdb.org/t/p/original/40FicZriZqdY65Hf5seKnvIo8if.jpg,1950-12-31,El Sombrerón,False,4.0,3,"ghost, based on myths, legends or folklore",Guatemala,1950,12,31,1950,"Based on the title, overview, and keywords, I would classify ""El Sombrerón"" under **Grief & Familial Trauma**.

The story revolves around a man who arrives late to confess his sins related to a tragic love triangle, which suggests that the horror stems from grief, guilt, or family trauma. The fact that it's inspired by a Guatemalan folkloric legend and features a ghost also points towards this category.

While there might be elements of possession or supernatural presence, the core fear seems to be rooted in the emotional toll of the tragic events and the consequences of one's actions, which aligns with the Grief & Familial Trauma category.",Grief & Familial Trauma
